Loop Target Address     , CountSeen        , CountLoopInvoked   , MeanTaken   , DiffCount   , Routine Name      , Routine Address      , Routine Invocations Count
0x7fb2e6f8fd65, 3, 3, 1, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2d3138a1b, 3, 0, 0, 0, __strtoll_l, 0x7fb2d31388d0, 0
0x405ae9, 3, 0, 0, 0, handle_compress, 0x405ac7, 3
0x7fb2d3138a73, 3, 0, 0, 0, __strtoll_l, 0x7fb2d31388d0, 0
0x7fb2d317e56b, 3, 0, 0, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2d317e285, 3, 0, 0, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2e6f93e0d, 3, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d31793c0, 3, 1, 3, 0, _IO_adjust_column, 0x7fb2d3178fe0, 0
0x7fb2d31791a1, 3, 3, 1, 0, _IO_adjust_column, 0x7fb2d3178fe0, 0
0x7fb2d3179100, 3, 2, 1, 0, _IO_adjust_column, 0x7fb2d3178fe0, 0
0x7fb2e6f8d941, 2, 4, 0, 2, .text, 0x7fb2e6f87ac0, 1
